date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:52:07	755/755	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224fc8692d-4c5%22	https://email.163.com/robots.txt		(from )
17:52:07	13663/13663	---MCZ	200	added ('OK')	text/html	etag:W/%225f2287d6-355f%22	https://email.163.com/	D:/Case/email163/email.163.com/index.html	(from )
17:52:07	1221/1221	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224fc8692d-4c5%22	https://email.163.com/sw.js	D:/Case/email163/email.163.com/sw.js	(from https://email.163.com/)
17:52:07	318/318	---M--	200	added ('OK')	image/x-icon	etag:%224994e214-13e%22	https://email.163.com/favicon.ico	D:/Case/email163/email.163.com/favicon.ico	(from https://email.163.com/)
17:52:08	37590/37590	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225c85c952-92d6%22	http://mimg.127.net/p/freemail/lib/track/raven-3.27.0.min.js	D:/Case/email163/mimg.127.net/p/freemail/lib/track/raven-3.27.0.min.js	(from https://email.163.com/)
17:52:08	29081/29081	---MCZ	200	added ('OK')	application/javascript	etag:a2d958e4368cc8e153c32ccdfc6b5c00	http://urswebzj.nosdn.127.net/webzj_cdn101/message.js	D:/Case/email163/urswebzj.nosdn.127.net/webzj_cdn101/webzj_cdn101%2Fmessage.js	(from https://email.163.com/)
17:52:08	140/140	---M--	200	added ('OK')	application/x-javascript	etag:%225c919a7c-8c%22	http://mimg.127.net/p/freemail/lib/polyfill/html-polyfill.js	D:/Case/email163/mimg.127.net/p/freemail/lib/polyfill/html-polyfill.js	(from https://email.163.com/)
17:52:08	1766/1766	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225c919a7c-6e6%22	http://mimg.127.net/p/freemail/lib/polyfill/es5-polyfill.js	D:/Case/email163/mimg.127.net/p/freemail/lib/polyfill/es5-polyfill.js	(from https://email.163.com/)
17:52:09	3249/3249	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225e7b3149-cb1%22	http://mimg.127.net/external/mail-index/email-promote.js	D:/Case/email163/mimg.127.net/external/mail-index/email-promote.js	(from https://email.163.com/)
17:52:09	107724/107724	---MCZ	200	added ('OK')	text/css	etag:W/%225e203242-1a4cc%22	https://mimg.127.net/p/freemail/index/email/css/1.style.c65728d2eda26176e14d.css	D:/Case/email163/mimg.127.net/p/freemail/index/email/css/1.style.c65728d2eda26176e14d.css	(from https://email.163.com/)
